comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
,220960000000,220960000000,,11698000000,132729000000,144427000000,2025-09-30,195201000000,132729000000,20719000000,,,,,112010000000,112010000000.0,,,62151000000,133050000000,,USD,34550000000,27601000000,416161000000
,210352000000,210352000000,,11445000000,123216000000,134661000000,2024-09-30,180683000000,123485000000,29749000000,,0.0,0.0,,93736000000,93736000000.0,0.0,,57467000000,123216000000,,USD,31370000000,26097000000,391035000000
,214137000000,214137000000,,11519000000,114301000000,125820000000,2023-09-30,169148000000,113736000000,16741000000,,3933000000.0,3750000000.0,,96995000000,96995000000.0,-183000000.0,,54847000000,114301000000,-382000000.0,USD,29915000000,24932000000,383285000000
,223546000000,223546000000,,11104000000,119437000000,130541000000,2022-09-30,170782000000,119103000000,19300000000,,2931000000.0,2825000000.0,,99803000000,99803000000.0,-106000000.0,,51573000000,119437000000,334000000.0,USD,26251000000,25094000000,394328000000
,212981000000,212981000000,,11284000000,111852000000,123136000000,2021-09-30,152836000000,109207000000,14527000000,,2645000000.0,2843000000.0,,94680000000,94680000000.0,198000000.0,,43887000000,108949000000,258000000.0,USD,21914000000,21973000000,365817000000
,169559000000,169559000000,,11056000000,69964000000,81020000000,2020-09-30,104956000000,67091000000,9680000000,,2873000000.0,3763000000.0,,57411000000,57411000000.0,890000000.0,,38668000000,66288000000,803000000.0,USD,18752000000,19916000000,274515000000
,161782000000,161782000000,,12547000000,69313000000,81860000000,2019-09-30,98392000000,65737000000,10481000000,,3576000000.0,4961000000.0,,55256000000,55256000000.0,1385000000.0,,34462000000,63930000000,1807000000.0,USD,16217000000,18245000000,260174000000
,163756000000,163756000000,,10903000000,76143000000,87046000000,2018-09-30,101839000000,72903000000,13372000000,,3240000000.0,5686000000.0,,59531000000,59531000000.0,2446000000.0,,30941000000,70898000000,2005000000.0,USD,14236000000,16705000000,265595000000
,141048000000,141048000000,,10157000000,66412000000,76569000000,2017-09-30,88186000000,64089000000,15738000000,,2323000000.0,5201000000.0,,48351000000,48351000000.0,2878000000.0,,26842000000,61344000000,2745000000.0,USD,11581000000,15261000000,229234000000
,131376000000,131376000000,,10505000000,62828000000,73333000000,2016-09-30,84263000000,61372000000,15685000000,,1456000000.0,3999000000.0,,45687000000,45687000000.0,2543000000.0,,24239000000,60024000000,1348000000.0,USD,10045000000,14194000000,215639000000
,140089000000,140089000000,,11257000000,73248000000,84505000000,2015-09-30,93626000000,72515000000,19121000000,,733000000.0,,,53394000000,53394000000.0,,,22396000000,71230000000,1285000000.0,USD,8067000000,14329000000,233715000000
,112258000000,112258000000,,7946000000,53867000000,61813000000,2014-09-30,70537000000,53483000000,13973000000,,384000000.0,,,39510000000,39510000000.0,,,18034000000,52503000000,980000000.0,USD,6041000000,11993000000,182795000000
,106606000000,106606000000,,6757000000,50291000000,57048000000,2013-09-30,64304000000,50155000000,13118000000,,136000000.0,,,37037000000,37037000000.0,,,15305000000,48999000000,1156000000.0,USD,4475000000,9730000000,170910000000
,87846000000,87846000000,,3277000000,55763000000,59040000000,2012-09-30,68662000000,55763000000,14030000000,,522000000.0,,,41733000000,41733000000.0,,,13421000000,55241000000,522000000.0,USD,3381000000,9040000000,156508000000
,64431000000,64431000000,,1814000000,34205000000,36019000000,2011-09-30,43818000000,34205000000,8283000000,,415000000.0,,,25922000000,25922000000.0,,,10028000000,33790000000,415000000.0,USD,2429000000,7599000000,108249000000
,39541000000,39541000000,,1027000000,18385000000,19412000000,2010-09-30,25684000000,18540000000,4527000000,,155000000.0,,,14013000000,14013000000.0,,,7299000000,18385000000,155000000.0,USD,1782000000,5517000000,65225000000
,25683000000,25683000000,,734000000,11740000000,12474000000,2009-09-30,17222000000,12066000000,3831000000,,326000000.0,,,8235000000,8235000000.0,,,5482000000,11740000000,326000000.0,USD,1333000000,4149000000,42905000000
,21334000000,21334000000,,409000000,6895000000,7304000000,2008-09-30,11145000000,6895000000,2061000000,,620000000.0,,,4834000000,,,,4870000000,6275000000,,USD,1109000000,3761000000,32479000000
,15852000000,15852000000,,317000000,4407000000,4724000000,2007-09-30,8154000000,5008000000,1512000000,,599000000.0,,,3495000000,,,,3745000000,4409000000,,USD,782000000,2963000000,24006000000
,13717000000,13717000000,,225000000,2453000000,2678000000,2006-09-30,5598000000,2818000000,829000000,,365000000.0,,,1989000000,,,,3145000000,2453000000,,USD,712000000,2433000000,19315000000
